# ESTAR: Stopping Powers and Range Tables for Electrons
# 
# Carbon disulfide (Density=1.2927 g/cm3) (I=175.9 eV)
# 
# Kinetic    Collision Radiative Total     CSDA      
# Energy     Stp. Pow. Stp. Pow. Stp. Pow. Range     
# MeV        MeV cm2/g MeV cm2/g MeV cm2/g g/cm2     
 1.000E-02 1.685E+01 7.383E-03 1.686E+01 3.473E-04 
 1.250E-02 1.429E+01 7.586E-03 1.430E+01 5.090E-04 
 1.500E-02 1.248E+01 7.733E-03 1.249E+01 6.966E-04 
 1.750E-02 1.113E+01 7.844E-03 1.114E+01 9.090E-04 
 2.000E-02 1.008E+01 7.931E-03 1.009E+01 1.145E-03 
 2.500E-02 8.541E+00 8.058E-03 8.549E+00 1.686E-03 
 3.000E-02 7.467E+00 8.147E-03 7.475E+00 2.313E-03 
 3.500E-02 6.672E+00 8.214E-03 6.681E+00 3.022E-03 
 4.000E-02 6.058E+00 8.270E-03 6.067E+00 3.809E-03 
 4.500E-02 5.569E+00 8.318E-03 5.577E+00 4.670E-03 
 5.000E-02 5.170E+00 8.360E-03 5.178E+00 5.601E-03 
 5.500E-02 4.837E+00 8.399E-03 4.845E+00 6.600E-03 
 6.000E-02 4.556E+00 8.437E-03 4.564E+00 7.664E-03 
 7.000E-02 4.105E+00 8.508E-03 4.113E+00 9.976E-03 
 8.000E-02 3.760E+00 8.581E-03 3.768E+00 1.252E-02 
 9.000E-02 3.487E+00 8.655E-03 3.495E+00 1.528E-02 
 1.000E-01 3.265E+00 8.733E-03 3.274E+00 1.824E-02 
 1.250E-01 2.860E+00 8.948E-03 2.869E+00 2.643E-02 
 1.500E-01 2.586E+00 9.187E-03 2.595E+00 3.561E-02 
 1.750E-01 2.389E+00 9.450E-03 2.398E+00 4.565E-02 
 2.000E-01 2.241E+00 9.733E-03 2.251E+00 5.642E-02 
 2.500E-01 2.035E+00 1.035E-02 2.045E+00 7.980E-02 
 3.000E-01 1.901E+00 1.104E-02 1.912E+00 1.051E-01 
 3.500E-01 1.808E+00 1.177E-02 1.819E+00 1.320E-01 
 4.000E-01 1.741E+00 1.255E-02 1.753E+00 1.600E-01 
 4.500E-01 1.691E+00 1.338E-02 1.704E+00 1.890E-01 
 5.000E-01 1.653E+00 1.425E-02 1.668E+00 2.186E-01 
 5.500E-01 1.624E+00 1.515E-02 1.639E+00 2.489E-01 
 6.000E-01 1.601E+00 1.608E-02 1.617E+00 2.796E-01 
 7.000E-01 1.568E+00 1.803E-02 1.586E+00 3.421E-01 
 8.000E-01 1.547E+00 2.007E-02 1.567E+00 4.056E-01 
 9.000E-01 1.533E+00 2.220E-02 1.555E+00 4.697E-01 
